"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"891",1,1,1,2,1,1,2,1,1,2,1,-83200,-1900,-2200,-11500,-1500,-2100,-2400,-38000,-2200,-8800,-2100,-10500,TRUE
"330",1,2,2,1,1,2,2,2,1,2,1,-66000,-3300,-600,-6000,-2400,-3000,-1800,-23000,-400,-12800,-1200,-11500,FALSE
"345",1,2,2,1,2,2,1,2,1,1,2,-71800,-600,-2700,-16000,-1300,-2000,-2600,-28000,-2600,-4400,-1600,-10000,FALSE
"596",1,2,2,1,1,2,1,2,1,1,2,-69600,-700,-2700,-16500,-1300,-900,-3000,-26000,-2600,-4400,-1500,-10000,FALSE
"606",1,2,2,1,2,1,1,2,1,1,2,-69800,-400,-2700,-17000,-1100,-2400,-1600,-26000,-1800,-4400,-1400,-11000,FALSE
"613",1,2,2,1,2,2,1,1,1,1,2,-63000,-200,-2700,-15000,-1300,-2000,-1800,-26000,1800,-4400,-1400,-10000,FALSE
"616",1,2,2,1,2,2,1,2,1,1,1,-53800,-1100,-2700,-16000,-1300,-2000,-3600,-18000,-2600,-4400,-1100,-1000,FALSE
"824",1,2,2,1,1,1,1,2,1,1,2,-66000,-500,-2700,-17500,-1100,-500,-1200,-24000,-1800,-4400,-1300,-11000,FALSE
"831",1,2,2,1,1,2,1,1,1,1,2,-60800,-300,-2700,-15500,-1300,-900,-2200,-24000,1800,-4400,-1300,-10000,FALSE
"834",1,2,2,1,1,2,1,2,1,1,1,-51600,-1200,-2700,-16500,-1300,-900,-4000,-16000,-2600,-4400,-1000,-1000,FALSE
"836",1,2,2,1,2,1,1,1,1,1,2,-64200,0,-2700,-16000,-1100,-2400,-2400,-24000,1000,-4400,-1200,-11000,FALSE
"839",1,2,2,1,2,1,1,2,1,1,1,-47800,-900,-2700,-17000,-1100,-2400,-600,-16000,-1800,-4400,-900,0,FALSE
"841",1,2,2,1,2,2,1,1,1,1,1,-45000,-700,-2700,-15000,-1300,-2000,-2800,-16000,1800,-4400,-900,-1000,FALSE
"961",1,2,2,1,1,1,1,1,1,1,2,-60400,-100,-2700,-16500,-1100,-500,-2000,-22000,1000,-4400,-1100,-11000,FALSE
"964",1,2,2,1,1,1,1,2,1,1,1,-44000,-1000,-2700,-17500,-1100,-500,-200,-14000,-1800,-4400,-800,0,FALSE
"966",1,2,2,1,1,2,1,1,1,1,1,-42800,-800,-2700,-15500,-1300,-900,-3200,-14000,1800,-4400,-800,-1000,FALSE
"967",1,2,2,1,2,1,1,1,1,1,1,-42200,-500,-2700,-16000,-1100,-2400,-1400,-14000,1000,-4400,-700,0,FALSE
