"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"976",1,1,1,1,1,1,2,1,1,2,1,-65600,-2100,-2100,-2100,-1100,-2100,-2200,-31000,-2200,-8400,-1800,-10500,TRUE
"330",1,2,2,1,1,2,2,2,1,2,1,-55400,-2900,-100,-1200,-1600,-2600,-1800,-23000,-400,-9600,-1200,-11000,FALSE
"345",1,2,2,1,2,2,1,2,1,1,2,-46200,-200,-2700,-3200,-500,-2000,-2600,-20000,-2600,-1200,-1200,-10000,FALSE
"596",1,2,2,1,1,2,1,2,1,1,2,-43200,-300,-2700,-3300,-500,-500,-3000,-18000,-2600,-1200,-1100,-10000,FALSE
"606",1,2,2,1,2,1,1,2,1,1,2,-41800,0,-2700,-3000,-300,-2400,-400,-18000,-1800,-1200,-1000,-11000,FALSE
"613",1,2,2,1,2,2,1,1,1,1,2,-39000,200,-2700,-3000,-500,-2000,-1800,-18000,1000,-1200,-1000,-10000,FALSE
"824",1,2,2,1,1,1,1,2,1,1,2,-37200,-100,-2700,-3100,-300,-100,0,-16000,-1800,-1200,-900,-11000,FALSE
"831",1,2,2,1,1,2,1,1,1,1,2,-36000,100,-2700,-3100,-500,-500,-2200,-16000,1000,-1200,-900,-10000,FALSE
"836",1,2,2,1,2,1,1,1,1,1,2,-37800,400,-2700,-2800,-300,-2400,-1200,-16000,200,-1200,-800,-11000,FALSE
"961",1,2,2,1,1,1,1,1,1,1,2,-33200,300,-2700,-2900,-300,-100,-800,-14000,200,-1200,-700,-11000,FALSE
"5961",1,2,2,1,1,2,1,2,1,1,2,-43200,-300,-2700,-3300,-500,-500,-3000,-18000,-2600,-1200,-1100,-10000,FALSE
"834",1,2,2,1,1,2,1,2,1,1,1,-24200,-800,-2200,-3300,-500,-500,-4000,-8000,-2600,-1200,-600,-500,FALSE
"4",1,2,2,1,2,2,2,2,2,2,2,-7800,-1900,-200,-300,-2000,100,-400,-3000,-400,0,-200,500,FALSE
"29",1,2,2,1,1,2,2,2,2,2,2,-13200,-2000,-200,-400,-2000,-2600,-800,-5000,-400,0,-300,500,FALSE
"32",1,2,2,1,2,2,2,1,2,2,2,-9400,-1500,-200,-100,-2000,100,400,-5000,-1200,0,-400,500,FALSE
"35",1,2,2,1,2,2,2,2,2,2,1,-30800,-2400,300,-300,-2000,100,-1400,-13000,-400,0,-700,-11000,FALSE
"123",1,2,2,1,1,2,2,1,2,2,2,-14800,-1600,-200,-200,-2000,-2600,0,-7000,-1200,0,-500,500,FALSE
"126",1,2,2,1,1,2,2,2,2,2,1,-36200,-2500,300,-400,-2000,-2600,-1800,-15000,-400,0,-800,-11000,FALSE
"138",1,2,2,1,2,2,2,1,2,2,1,-32400,-2000,300,-100,-2000,100,-600,-15000,-1200,0,-900,-11000,FALSE
"328",1,2,2,1,1,2,2,1,2,2,1,-37800,-2100,300,-200,-2000,-2600,-1000,-17000,-1200,0,-1000,-11000,FALSE
"5",1,2,2,2,1,2,2,2,2,2,2,-8800,-1800,-100,-200,200,-2600,-600,-4000,-400,400,-200,500,FALSE
"14",1,1,2,2,1,2,2,2,2,2,2,-12600,-1700,-2000,-100,100,-2600,-600,-6000,-400,0,-300,1000,FALSE
"291",1,2,2,1,1,2,2,2,2,2,2,-13200,-2000,-200,-400,-2000,-2600,-800,-5000,-400,0,-300,500,FALSE
"38",1,2,2,2,1,2,2,1,2,2,2,-10400,-1400,-100,0,200,-2600,200,-6000,-1200,400,-400,500,FALSE
"39",1,2,2,2,1,2,2,2,1,2,2,-29600,-2200,-500,-1000,-200,-2600,-600,-12000,-400,-10000,-600,500,FALSE
"41",1,2,2,2,1,2,2,2,2,2,1,-31800,-2300,400,-200,200,-2600,-1600,-14000,-400,400,-700,-11000,FALSE
"65",1,1,2,1,1,2,2,2,2,2,2,-16600,-1900,-1900,-300,-1900,-2600,-800,-7000,-400,-400,-400,1000,FALSE
"74",1,1,2,2,1,2,2,1,2,2,2,-14200,-1300,-2000,100,100,-2600,200,-8000,-1200,0,-500,1000,FALSE
"75",1,1,2,2,1,2,2,2,1,2,2,-31800,-2100,-1600,-900,-300,-2600,-600,-14000,-400,-9600,-700,1000,FALSE
"77",1,1,2,2,1,2,2,2,2,2,1,-37600,-2200,-2500,-100,100,-2600,-1600,-16000,-400,0,-800,-11500,FALSE
"1231",1,2,2,1,1,2,2,1,2,2,2,-14800,-1600,-200,-200,-2000,-2600,0,-7000,-1200,0,-500,500,FALSE
"124",1,2,2,1,1,2,2,2,1,2,2,-32400,-2400,-600,-1200,-1600,-2600,-800,-13000,-400,-9600,-700,500,FALSE
"1261",1,2,2,1,1,2,2,2,2,2,1,-36200,-2500,300,-400,-2000,-2600,-1800,-15000,-400,0,-800,-11000,FALSE
"151",1,2,2,2,1,2,2,1,1,2,2,-31200,-1800,-500,-800,-200,-2600,200,-14000,-1200,-10000,-800,500,FALSE
"153",1,2,2,2,1,2,2,1,2,2,1,-33400,-1900,400,0,200,-2600,-800,-16000,-1200,400,-900,-11000,FALSE
"155",1,2,2,2,1,2,2,2,1,2,1,-52600,-2700,0,-1000,-200,-2600,-1600,-22000,-400,-10000,-1100,-11000,FALSE
"207",1,1,2,1,1,2,2,1,2,2,2,-18200,-1500,-1900,-100,-1900,-2600,0,-9000,-1200,-400,-600,1000,FALSE
"208",1,1,2,1,1,2,2,2,1,2,2,-34200,-2300,-1500,-1100,-1500,-2600,-800,-15000,-400,-9200,-800,1000,FALSE
"210",1,1,2,1,1,2,2,2,2,2,1,-41600,-2400,-2400,-300,-1900,-2600,-1800,-17000,-400,-400,-900,-11500,FALSE
"235",1,1,2,2,1,2,2,1,1,2,2,-33400,-1700,-1600,-700,-300,-2600,200,-16000,-1200,-9600,-900,1000,FALSE
"237",1,1,2,2,1,2,2,1,2,2,1,-39200,-1800,-2500,100,100,-2600,-800,-18000,-1200,0,-1000,-11500,FALSE
"239",1,1,2,2,1,2,2,2,1,2,1,-56800,-2600,-2100,-900,-300,-2600,-1600,-24000,-400,-9600,-1200,-11500,FALSE
"326",1,2,2,1,1,2,2,1,1,2,2,-34000,-2000,-600,-1000,-1600,-2600,0,-15000,-1200,-9600,-900,500,FALSE
"3281",1,2,2,1,1,2,2,1,2,2,1,-37800,-2100,300,-200,-2000,-2600,-1000,-17000,-1200,0,-1000,-11000,FALSE
"3301",1,2,2,1,1,2,2,2,1,2,1,-55400,-2900,-100,-1200,-1600,-2600,-1800,-23000,-400,-9600,-1200,-11000,FALSE
"369",1,2,2,2,1,2,2,1,1,2,1,-54200,-2300,0,-800,-200,-2600,-800,-24000,-1200,-10000,-1300,-11000,FALSE
"452",1,1,2,1,1,2,2,1,1,2,2,-35800,-1900,-1500,-900,-1500,-2600,0,-17000,-1200,-9200,-1000,1000,FALSE
"454",1,1,2,1,1,2,2,1,2,2,1,-43200,-2000,-2400,-100,-1900,-2600,-1000,-19000,-1200,-400,-1100,-11500,FALSE
"456",1,1,2,1,1,2,2,2,1,2,1,-59200,-2800,-2000,-1100,-1500,-2600,-1800,-25000,-400,-9200,-1300,-11500,FALSE
"495",1,1,2,2,1,2,2,1,1,2,1,-58400,-2200,-2100,-700,-300,-2600,-800,-26000,-1200,-9600,-1400,-11500,FALSE
"600",1,2,2,1,1,2,2,1,1,2,1,-57000,-2500,-100,-1000,-1600,-2600,-1000,-25000,-1200,-9600,-1400,-11000,FALSE
"726",1,1,2,1,1,2,2,1,1,2,1,-60800,-2400,-2000,-900,-1500,-2600,-1000,-27000,-1200,-9200,-1500,-11500,FALSE
"598",1,2,2,1,1,2,1,2,2,1,1,-38600,-400,-1800,-2500,-900,-500,-4000,-16000,-2600,-8400,-1000,-500,FALSE
"724",1,1,2,1,1,2,1,2,2,1,1,-35600,-300,-300,-2400,-800,-500,-4000,-14000,-2600,-8800,-900,-1000,FALSE
"8341",1,2,2,1,1,2,1,2,1,1,1,-24200,-800,-2200,-3300,-500,-500,-4000,-8000,-2600,-1200,-600,-500,FALSE
"918",1,1,2,1,1,2,1,2,1,1,1,-19600,-700,100,-3200,-400,-500,-4000,-6000,-2600,-800,-500,-1000,FALSE
"1018",1,1,1,1,1,1,2,1,1,1,1,-64000,-2000,-2000,-2000,-1000,-2000,-2000,-32000,-2000,-8000,-1000,-10000,FALSE
"49",1,2,2,2,2,2,1,2,2,1,2,-60600,400,-2200,-2200,-900,-2000,-2400,-29000,-2600,-8000,-1700,-10000,FALSE
"85",1,1,2,2,2,2,1,2,2,1,2,-56000,500,100,-2100,-1000,-2000,-2400,-27000,-2600,-8400,-1600,-9500,FALSE
"134",1,2,2,1,2,2,1,2,2,1,2,-60600,200,-2300,-2400,-900,-2000,-2600,-28000,-2600,-8400,-1600,-10000,FALSE
"149",1,2,2,2,1,2,1,2,2,1,2,-57600,300,-2200,-2300,-900,-500,-2800,-27000,-2600,-8000,-1600,-10000,FALSE
"170",1,2,2,2,2,2,1,2,1,1,2,-47800,0,-2600,-3000,-1300,-2000,-2400,-21000,-2600,-1600,-1300,-10000,FALSE
"172",1,2,2,2,2,2,1,2,2,1,1,-41600,-100,-1700,-2200,-900,-2000,-3400,-19000,-2600,-8000,-1200,-500,FALSE
"218",1,1,2,1,2,2,1,2,2,1,2,-55600,300,200,-2300,-800,-2000,-2600,-26000,-2600,-8800,-1500,-9500,FALSE
"233",1,1,2,2,1,2,1,2,2,1,2,-53000,400,100,-2200,-1000,-500,-2800,-25000,-2600,-8400,-1500,-9500,FALSE
"254",1,1,2,2,2,2,1,2,1,1,2,-41600,100,500,-2900,-1400,-2000,-2400,-19000,-2600,-1200,-1200,-9500,FALSE
"256",1,1,2,2,2,2,1,2,2,1,1,-39000,0,-400,-2100,-1000,-2000,-3400,-17000,-2600,-8400,-1100,-1000,FALSE
"324",1,2,2,1,1,2,1,2,2,1,2,-57600,100,-2300,-2500,-900,-500,-3000,-26000,-2600,-8400,-1500,-10000,FALSE
"3451",1,2,2,1,2,2,1,2,1,1,2,-46200,-200,-2700,-3200,-500,-2000,-2600,-20000,-2600,-1200,-1200,-10000,FALSE
"347",1,2,2,1,2,2,1,2,2,1,1,-41600,-300,-1800,-2400,-900,-2000,-3600,-18000,-2600,-8400,-1100,-500,FALSE
"365",1,2,2,2,1,2,1,2,1,1,2,-44800,-100,-2600,-3100,-1300,-500,-2800,-19000,-2600,-1600,-1200,-10000,FALSE
"367",1,2,2,2,1,2,1,2,2,1,1,-38600,-200,-1700,-2300,-900,-500,-3800,-17000,-2600,-8000,-1100,-500,FALSE
"385",1,2,2,2,2,2,1,2,1,1,1,-28800,-500,-2100,-3000,-1300,-2000,-3400,-11000,-2600,-1600,-800,-500,FALSE
"450",1,1,2,1,1,2,1,2,2,1,2,-52600,200,200,-2400,-800,-500,-3000,-24000,-2600,-8800,-1400,-9500,FALSE
"471",1,1,2,1,2,2,1,2,1,1,2,-39600,-100,600,-3100,-400,-2000,-2600,-18000,-2600,-800,-1100,-9500,FALSE
"473",1,1,2,1,2,2,1,2,2,1,1,-38600,-200,-300,-2300,-800,-2000,-3600,-16000,-2600,-8800,-1000,-1000,FALSE
"491",1,1,2,2,1,2,1,2,1,1,2,-38600,0,500,-3000,-1400,-500,-2800,-17000,-2600,-1200,-1100,-9500,FALSE
"493",1,1,2,2,1,2,1,2,2,1,1,-36000,-100,-400,-2200,-1000,-500,-3800,-15000,-2600,-8400,-1000,-1000,FALSE
"511",1,1,2,2,2,2,1,2,1,1,1,-24600,-400,0,-2900,-1400,-2000,-3400,-9000,-2600,-1200,-700,-1000,FALSE
"5962",1,2,2,1,1,2,1,2,1,1,2,-43200,-300,-2700,-3300,-500,-500,-3000,-18000,-2600,-1200,-1100,-10000,FALSE
"5981",1,2,2,1,1,2,1,2,2,1,1,-38600,-400,-1800,-2500,-900,-500,-4000,-16000,-2600,-8400,-1000,-500,FALSE
"616",1,2,2,1,2,2,1,2,1,1,1,-27200,-700,-2200,-3200,-500,-2000,-3600,-10000,-2600,-1200,-700,-500,FALSE
"631",1,2,2,2,1,2,1,2,1,1,1,-25800,-600,-2100,-3100,-1300,-500,-3800,-9000,-2600,-1600,-700,-500,FALSE
"722",1,1,2,1,1,2,1,2,1,1,2,-36600,-200,600,-3200,-400,-500,-3000,-16000,-2600,-800,-1000,-9500,FALSE
"7241",1,1,2,1,1,2,1,2,2,1,1,-35600,-300,-300,-2400,-800,-500,-4000,-14000,-2600,-8800,-900,-1000,FALSE
"742",1,1,2,1,2,2,1,2,1,1,1,-22600,-600,100,-3100,-400,-2000,-3600,-8000,-2600,-800,-600,-1000,FALSE
"757",1,1,2,2,1,2,1,2,1,1,1,-21600,-500,0,-3000,-1400,-500,-3800,-7000,-2600,-1200,-600,-1000,FALSE
"8342",1,2,2,1,1,2,1,2,1,1,1,-24200,-800,-2200,-3300,-500,-500,-4000,-8000,-2600,-1200,-600,-500,FALSE
"9181",1,1,2,1,1,2,1,2,1,1,1,-19600,-700,100,-3200,-400,-500,-4000,-6000,-2600,-800,-500,-1000,FALSE
"9",1,2,2,2,2,2,2,2,1,2,2,-24200,-2100,-500,-900,-200,100,-200,-10000,-400,-10000,-500,500,FALSE
"391",1,2,2,2,1,2,2,2,1,2,2,-29600,-2200,-500,-1000,-200,-2600,-600,-12000,-400,-10000,-600,500,FALSE
"44",1,2,2,2,2,1,2,2,1,2,2,-29400,-1900,-500,-700,-400,-300,-2800,-12000,400,-10000,-700,-500,FALSE
"51",1,2,2,2,2,2,2,1,1,2,2,-25800,-1700,-500,-700,-200,100,600,-12000,-1200,-10000,-700,500,FALSE
"55",1,2,2,2,2,2,2,2,1,2,1,-47200,-2600,0,-900,-200,100,-1200,-20000,-400,-10000,-1000,-11000,FALSE
"144",1,2,2,2,1,1,2,2,1,2,2,-33200,-2000,-500,-800,-400,-2200,-2400,-14000,400,-10000,-800,-500,FALSE
"1511",1,2,2,2,1,2,2,1,1,2,2,-31200,-1800,-500,-800,-200,-2600,200,-14000,-1200,-10000,-800,500,FALSE
"1551",1,2,2,2,1,2,2,2,1,2,1,-52600,-2700,0,-1000,-200,-2600,-1600,-22000,-400,-10000,-1100,-11000,FALSE
"161",1,2,2,2,2,1,2,1,1,2,2,-34200,-1500,-500,-500,-400,-300,-3600,-14000,-2000,-10000,-900,-500,FALSE
"165",1,2,2,2,2,1,2,2,1,2,1,-48400,-2400,0,-700,-400,-300,-1800,-22000,400,-10000,-1200,-10000,FALSE
"174",1,2,2,2,2,2,2,1,1,2,1,-48800,-2200,0,-700,-200,100,-400,-22000,-1200,-10000,-1200,-11000,FALSE
"356",1,2,2,2,1,1,2,1,1,2,2,-38000,-1600,-500,-600,-400,-2200,-3200,-16000,-2000,-10000,-1000,-500,FALSE
"360",1,2,2,2,1,1,2,2,1,2,1,-52200,-2500,0,-800,-400,-2200,-1400,-24000,400,-10000,-1300,-10000,FALSE
"3691",1,2,2,2,1,2,2,1,1,2,1,-54200,-2300,0,-800,-200,-2600,-800,-24000,-1200,-10000,-1300,-11000,FALSE
