"ISIS Calcs (Axelrod with Furnas), begun 12/7/2015",,,,,,,,,,,,,,,,,,,,,,,,
,"Corrected by Zander Furnas, 2/20/16",,,,,,,,,,,,,,,,,,,,,,,
"    Based on Axelrod's Landscape theory with my questimated data, current as of 2/8/16",,,,,,,,,,,,,,,,,,,,,,,,
     Ax deleted redundanct configurations(those  in which US is in alighnment 2),,,,,,,,,,,,,,,,,,,,,,,,
"  Ax added US propensities (-2 to 2) as a row, and calc  Frustration as a col",,,,,,,,,,,,,,,,,,,,,,,,
,"US utility = sum over others of (propensity with US * allied with US),   ",,,,,,,,,,,,,,,,,,,,,,,
,"where USally =1 if other is in allignmnet 1 with US, else -1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Strengtha (US=10),,,,,,,,,,
,,,,,,,,,,,,,,10,50,10,10,20,100,20,40,5,10,
,,,,,,,,,,,,,,Propsensities with US,,,,,,,,,,
,,-1,-1,2,1,-1,-2,-2,1,1,1,,,-1,-1,2,1,-1,-2,-2,1,1,1,
,,,,,,,,,,,,,,"Allied with US (1 if allied, else -1)",,,,,,,,,,
,US,Rus,Syr,Tur,S.A.,Iran,ISIS,Hez,IqKrd,Nursa,Iraq,Energy,US_Frustration,Rus_Frustration,Syr_Frustration,Tur_Frustration,S.A._Frustration,Iran_Frustration,ISIS_Frustration,Hez_Frustration,IqKrd_Frustration,Nursa_Frustration,Iraq_Frustration,Local Min
1,1,2,2,2,2,2,2,2,2,2,2,-3400,-1700,-100,-100,200,100,-200,-2000,-400,400,-100,500,FALSE
2,1,1,2,2,2,2,2,2,2,2,2,-7200,-1600,-2000,0,100,100,-200,-4000,-400,0,-200,1000,FALSE
3,1,2,1,2,2,2,2,2,2,2,2,-8600,-1600,0,-2700,0,0,0,-4000,-200,-400,-200,500,FALSE
4,1,2,2,1,2,2,2,2,2,2,2,-7800,-1900,-200,-300,-2000,100,-400,-3000,-400,0,-200,500,FALSE
5,1,2,2,2,1,2,2,2,2,2,2,-8800,-1800,-100,-200,200,-2600,-600,-4000,-400,400,-200,500,FALSE
6,1,2,2,2,2,1,2,2,2,2,2,-8600,-1500,-100,100,0,-300,-2800,-4000,400,400,-300,-500,FALSE
7,1,2,2,2,2,2,1,2,2,2,2,-59400,300,-2100,-2100,-800,-1900,-2200,-30000,-2400,-7600,-1100,-9500,FALSE
8,1,2,2,2,2,2,2,1,2,2,2,-5000,-1300,-100,100,200,100,600,-4000,-1200,400,-300,500,FALSE
9,1,2,2,2,2,2,2,2,1,2,2,-24200,-2100,-500,-900,-200,100,-200,-10000,-400,-10000,-500,500,FALSE
10,1,2,2,2,2,2,2,2,2,1,2,-8600,-1600,-200,-200,100,0,-400,-3000,-600,0,-2700,0,FALSE
11,1,2,2,2,2,2,2,2,2,2,1,-26400,-2200,400,-100,200,100,-1200,-12000,-400,400,-600,-11000,FALSE
12,1,1,1,2,2,2,2,2,2,2,2,-12800,-1500,-2100,-2800,-100,0,0,-6000,-200,-800,-300,1000,FALSE
13,1,1,2,1,2,2,2,2,2,2,2,-11200,-1800,-1900,-200,-1900,100,-400,-5000,-400,-400,-300,1000,FALSE
14,1,1,2,2,1,2,2,2,2,2,2,-12600,-1700,-2000,-100,100,-2600,-600,-6000,-400,0,-300,1000,FALSE
15,1,1,2,2,2,1,2,2,2,2,2,-12400,-1400,-2000,200,-100,-300,-2800,-6000,400,0,-400,0,FALSE
16,1,1,2,2,2,2,1,2,2,2,2,-55200,400,0,-2000,-900,-1900,-2200,-28000,-2400,-8000,-1200,-9000,FALSE
17,1,1,2,2,2,2,2,1,2,2,2,-8800,-1200,-2000,200,100,100,600,-6000,-1200,0,-400,1000,FALSE
18,1,1,2,2,2,2,2,2,1,2,2,-26400,-2000,-1600,-800,-300,100,-200,-12000,-400,-9600,-600,1000,FALSE
19,1,1,2,2,2,2,2,2,2,1,2,-12000,-1500,-1900,-100,0,0,-400,-5000,-600,-400,-2600,500,FALSE
20,1,1,2,2,2,2,2,2,2,2,1,-32200,-2100,-2500,0,100,100,-1200,-14000,-400,0,-700,-11500,FALSE
21,1,2,1,1,2,2,2,2,2,2,2,-12200,-1800,-100,-2500,-1800,0,-200,-5000,-200,-800,-300,500,FALSE
22,1,2,1,2,1,2,2,2,2,2,2,-13600,-1700,0,-2600,0,-2500,-400,-6000,-200,-400,-300,500,FALSE
23,1,2,1,2,2,1,2,2,2,2,2,-14600,-1400,0,-2900,-200,-400,-3000,-6000,600,-400,-400,-500,FALSE
24,1,2,1,2,2,2,1,2,2,2,2,-56600,400,-2000,-700,-1000,-2000,-2000,-28000,-2200,-8400,-1200,-9500,FALSE
25,1,2,1,2,2,2,2,1,2,2,2,-11000,-1200,0,-2900,0,0,800,-6000,-1400,-400,-400,500,FALSE
26,1,2,1,2,2,2,2,2,1,2,2,-26200,-2000,-400,-1900,-400,0,0,-12000,-200,-9200,-600,500,FALSE
27,1,2,1,2,2,2,2,2,2,1,2,-13400,-1500,-100,-2600,-100,-100,-200,-5000,-400,-800,-2600,0,FALSE
28,1,2,1,2,2,2,2,2,2,2,1,-31600,-2100,500,-2700,0,0,-1000,-14000,-200,-400,-700,-11000,FALSE
29,1,2,2,1,1,2,2,2,2,2,2,-13200,-2000,-200,-400,-2000,-2600,-800,-5000,-400,0,-300,500,FALSE
30,1,2,2,1,2,1,2,2,2,2,2,-12200,-1700,-200,-100,-1800,-300,-2600,-5000,400,0,-400,-500,FALSE
31,1,2,2,1,2,2,1,2,2,2,2,-59800,100,-2200,-2300,-1000,-1900,-2400,-29000,-2400,-8000,-1200,-9500,FALSE
32,1,2,2,1,2,2,2,1,2,2,2,-9400,-1500,-200,-100,-2000,100,400,-5000,-1200,0,-400,500,FALSE
33,1,2,2,1,2,2,2,2,1,2,2,-27000,-2300,-600,-1100,-1600,100,-400,-11000,-400,-9600,-600,500,FALSE
34,1,2,2,1,2,2,2,2,2,1,2,-12600,-1800,-300,-400,-1900,0,-600,-4000,-600,-400,-2600,0,FALSE
35,1,2,2,1,2,2,2,2,2,2,1,-30800,-2400,300,-300,-2000,100,-1400,-13000,-400,0,-700,-11000,FALSE
36,1,2,2,2,1,1,2,2,2,2,2,-12400,-1600,-100,0,0,-2200,-2400,-6000,400,400,-400,-500,FALSE
37,1,2,2,2,1,2,1,2,2,2,2,-56800,200,-2100,-2200,-800,-600,-2600,-28000,-2400,-7600,-1200,-9500,FALSE
38,1,2,2,2,1,2,2,1,2,2,2,-10400,-1400,-100,0,200,-2600,200,-6000,-1200,400,-400,500,FALSE
39,1,2,2,2,1,2,2,2,1,2,2,-29600,-2200,-500,-1000,-200,-2600,-600,-12000,-400,-10000,-600,500,FALSE
40,1,2,2,2,1,2,2,2,2,1,2,-13600,-1700,-200,-300,100,-2500,-800,-5000,-600,0,-2600,0,FALSE
41,1,2,2,2,1,2,2,2,2,2,1,-31800,-2300,400,-200,200,-2600,-1600,-14000,-400,400,-700,-11000,FALSE
42,1,2,2,2,2,1,1,2,2,2,2,-56600,500,-2100,-1900,-1000,-2300,-800,-28000,-1600,-7600,-1300,-10500,FALSE
43,1,2,2,2,2,1,2,1,2,2,2,-13400,-1100,-100,300,0,-300,-3600,-6000,-2000,400,-500,-500,FALSE
44,1,2,2,2,2,1,2,2,1,2,2,-29400,-1900,-500,-700,-400,-300,-2800,-12000,400,-10000,-700,-500,FALSE
45,1,2,2,2,2,1,2,2,2,1,2,-13000,-1400,-200,0,-100,-400,-2600,-5000,200,0,-2500,-1000,FALSE
46,1,2,2,2,2,1,2,2,2,2,1,-27600,-2000,400,100,0,-300,-1800,-14000,400,400,-800,-10000,FALSE
47,1,2,2,2,2,2,1,1,2,2,2,-53000,700,-2100,-1900,-800,-1900,-1400,-28000,800,-7600,-1300,-9500,FALSE
48,1,2,2,2,2,2,1,2,1,2,2,-48200,-100,-2500,-2900,-1200,-1900,-2200,-22000,-2400,-2000,-1500,-9500,FALSE
49,1,2,2,2,2,2,1,2,2,1,2,-60600,400,-2200,-2200,-900,-2000,-2400,-29000,-2600,-8000,-1700,-10000,FALSE
50,1,2,2,2,2,2,1,2,2,2,1,-42400,-200,-1600,-2100,-800,-1900,-3200,-20000,-2400,-7600,-1600,-1000,FALSE
51,1,2,2,2,2,2,2,1,1,2,2,-25800,-1700,-500,-700,-200,100,600,-12000,-1200,-10000,-700,500,FALSE
52,1,2,2,2,2,2,2,1,2,1,2,-9400,-1200,-200,0,100,0,400,-5000,-1000,0,-2500,0,FALSE
53,1,2,2,2,2,2,2,1,2,2,1,-28000,-1800,400,100,200,100,-400,-14000,-1200,400,-800,-11000,FALSE
54,1,2,2,2,2,2,2,2,1,1,2,-27800,-2000,-600,-1000,-300,0,-400,-11000,-600,-9600,-2300,0,FALSE
55,1,2,2,2,2,2,2,2,1,2,1,-47200,-2600,0,-900,-200,100,-1200,-20000,-400,-10000,-1000,-11000,FALSE
56,1,2,2,2,2,2,2,2,2,1,1,-29600,-2100,300,-200,100,0,-1400,-13000,-600,0,-2200,-10500,FALSE
57,1,1,1,1,2,2,2,2,2,2,2,-16000,-1700,-2000,-2600,-1700,0,-200,-7000,-200,-1200,-400,1000,FALSE
58,1,1,1,2,1,2,2,2,2,2,2,-17800,-1600,-2100,-2700,-100,-2500,-400,-8000,-200,-800,-400,1000,FALSE
59,1,1,1,2,2,1,2,2,2,2,2,-18800,-1300,-2100,-3000,-300,-400,-3000,-8000,600,-800,-500,0,FALSE
60,1,1,1,2,2,2,1,2,2,2,2,-52800,500,-100,-800,-1100,-2000,-2000,-26000,-2200,-8800,-1300,-9000,FALSE
61,1,1,1,2,2,2,2,1,2,2,2,-15200,-1100,-2100,-3000,-100,0,800,-8000,-1400,-800,-500,1000,FALSE
62,1,1,1,2,2,2,2,2,1,2,2,-28800,-1900,-1700,-2000,-500,0,0,-14000,-200,-8800,-700,1000,FALSE
63,1,1,1,2,2,2,2,2,2,1,2,-17200,-1400,-2000,-2700,-200,-100,-200,-7000,-400,-1200,-2500,500,FALSE
64,1,1,1,2,2,2,2,2,2,2,1,-37800,-2000,-2600,-2800,-100,0,-1000,-16000,-200,-800,-800,-11500,FALSE
65,1,1,2,1,1,2,2,2,2,2,2,-16600,-1900,-1900,-300,-1900,-2600,-800,-7000,-400,-400,-400,1000,FALSE
66,1,1,2,1,2,1,2,2,2,2,2,-15600,-1600,-1900,0,-1700,-300,-2600,-7000,400,-400,-500,0,FALSE
67,1,1,2,1,2,2,1,2,2,2,2,-55200,200,100,-2200,-900,-1900,-2400,-27000,-2400,-8400,-1300,-9000,FALSE
68,1,1,2,1,2,2,2,1,2,2,2,-12800,-1400,-1900,0,-1900,100,400,-7000,-1200,-400,-500,1000,FALSE
69,1,1,2,1,2,2,2,2,1,2,2,-28800,-2200,-1500,-1000,-1500,100,-400,-13000,-400,-9200,-700,1000,FALSE
70,1,1,2,1,2,2,2,2,2,1,2,-15600,-1700,-1800,-300,-1800,0,-600,-6000,-600,-800,-2500,500,FALSE
71,1,1,2,1,2,2,2,2,2,2,1,-36200,-2300,-2400,-200,-1900,100,-1400,-15000,-400,-400,-800,-11500,FALSE
72,1,1,2,2,1,1,2,2,2,2,2,-16200,-1500,-2000,100,-100,-2200,-2400,-8000,400,0,-500,0,FALSE
